fpl_id,understat_id,h_fpl,a_fpl,h_understat,a_understat
1,22275,Burnley,Man City,Burnley,Manchester City
2,22276,Arsenal,Nott'm Forest,Arsenal,Nottingham Forest
3,22277,Bournemouth,West Ham,Bournemouth,West Ham
4,22278,Brighton,Luton,Brighton,Luton
5,22279,Everton,Fulham,Everton,Fulham
7,22280,Sheffield Utd,Crystal Palace,Sheffield United,Crystal Palace
6,22281,Newcastle,Aston Villa,Newcastle United,Aston Villa
8,22282,Brentford,Spurs,Brentford,Tottenham
9,22283,Chelsea,Liverpool,Chelsea,Liverpool
10,22284,Man Utd,Wolves,Manchester United,Wolverhampton Wanderers
17,22285,Nott'm Forest,Sheffield Utd,Nottingham Forest,Sheffield United
20,22286,Wolves,Brighton,Wolverhampton Wanderers,Brighton
13,22287,Fulham,Brentford,Fulham,Brentford
14,22288,Liverpool,Bournemouth,Liverpool,Bournemouth
18,22290,Spurs,Man Utd,Tottenham,Manchester United
16,22291,Man City,Newcastle,Manchester City,Newcastle United
11,22292,Aston Villa,Everton,Aston Villa,Everton
19,22293,West Ham,Chelsea,West Ham,Chelsea
12,22294,Crystal Palace,Arsenal,Crystal Palace,Arsenal
26,22295,Chelsea,Luton,Chelsea,Luton
22,22296,Bournemouth,Spurs,Bournemouth,Tottenham
21,22297,Arsenal,Fulham,Arsenal,Fulham
23,22298,Brentford,Crystal Palace,Brentford,Crystal Palace
27,22299,Everton,Wolves,Everton,Wolverhampton Wanderers
28,22300,Man Utd,Nott'm Forest,Manchester United,Nottingham Forest
24,22301,Brighton,West Ham,Brighton,West Ham
25,22302,Burnley,Aston Villa,Burnley,Aston Villa
30,22303,Sheffield Utd,Man City,Sheffield United,Manchester City
29,22304,Newcastle,Liverpool,Newcastle United,Liverpool
38,21925,Luton,West Ham,Luton,West Ham
40,21926,Sheffield Utd,Everton,Sheffield United,Everton
39,21927,Man City,Fulham,Manchester City,Fulham
32,21928,Brentford,Bournemouth,Brentford,Bournemouth
