element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
219,7,17,0,False,2023-08-12T14:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,23700,0,0
219,12,1,1,True,2023-08-21T19:00:00Z,0,1,2,16,0,0,0,0,0,0,0,0,0,0,0,6,4.4,2.6,0.0,0.7,0,0.00,0.02,0.02,0.00,45,-1429,23579,846,2275
219,23,4,1,False,2023-08-26T14:00:00Z,1,1,3,19,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.7,0.0,0.1,0,0.00,0.00,0.00,0.45,45,-2703,21227,588,3291
219,36,20,0,True,2023-09-03T13:00:00Z,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1798,19831,1018,2816
219,41,2,1,False,2023-09-16T14:00:00Z,3,1,5,1,0,0,0,2,0,0,0,0,0,0,0,3,1.2,1.0,0.0,0.2,0,0.00,0.00,0.00,1.43,44,-721,19546,1453,2174
219,56,10,0,True,2023-09-23T14:00:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1703,17877,360,2063
219,65,14,0,False,2023-09-30T14:00:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-3135,14629,55,3190
219,74,16,0,True,2023-10-07T16:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-1184,13810,926,2110
219,87,15,0,False,2023-10-21T14:00:00Z,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,10638,26378,13657,3019
219,96,18,1,True,2023-10-27T19:00:00Z,1,2,10,20,0,0,0,0,0,0,0,0,0,0,0,4,1.6,0.0,0.0,0.2,0,0.00,0.00,0.00,0.25,43,38272,68353,47392,9120
219,102,6,1,False,2023-11-04T15:00:00Z,0,2,11,20,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,0.0,0.1,0,0.00,0.01,0.01,0.52,43,35263,107331,43610,8347
219,116,9,1,True,2023-11-11T15:00:00Z,2,3,12,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.11,43,2507,107408,16713,14206
219,125,12,1,False,2023-11-25T15:00:00Z,2,1,13,10,0,0,0,1,0,0,0,0,0,0,0,1,0.6,1.3,4.0,0.6,0,0.02,0.02,0.04,0.46,43,5262,112171,17459,12197
219,140,19,0,False,2023-12-03T14:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,1465,113860,10771,9306
219,143,3,1,True,2023-12-06T19:30:00Z,0,2,15,21,0,0,0,1,0,0,0,0,0,0,0,3,0.8,11.1,3.0,1.5,0,0.05,0.01,0.06,0.59,43,-2593,111015,3309,5902
219,153,11,0,True,2023-12-09T12:30:00Z,1,2,16,6,0,0,0,1,0,0,0,1,0,0,0,-1,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.07,43,-5912,105075,2209,8121
219,167,13,1,False,2023-12-16T15:00:00Z,2,2,17,9,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,2.0,0.2,0,0.03,0.00,0.03,0.03,43,-10640,93523,1284,11924
219,172,5,0,True,2023-12-21T20:00:00Z,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-8737,84961,743,9480
219,186,7,0,False,2023-12-27T19:30:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-4040,82061,444,4484
219,192,4,0,True,2023-12-30T15:00:00Z,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-5964,76112,412,6376
219,201,1,1,False,2024-01-20T12:30:00Z,5,0,21,14,0,0,0,2,0,0,0,0,0,0,0,5,5.6,0.3,0.0,0.6,0,0.00,0.00,0.00,0.85,43,-11151,64626,436,11587
219,212,17,0,True,2024-01-30T20:00:00Z,3,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-4998,60217,257,5255
219,224,5,1,False,2024-02-03T15:00:00Z,4,1,23,10,0,0,0,1,0,0,0,0,0,0,0,2,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.60,43,-2102,58260,191,2293
219,232,7,1,True,2024-02-12T20:00:00Z,1,3,24,11,0,0,0,2,0,0,0,0,0,0,0,6,3.2,0.1,5.0,0.8,0,0.02,0.00,0.02,0.72,43,-2426,55870,438,2864
219,243,9,1,False,2024-02-19T20:00:00Z,1,1,25,18,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.86,43,-1661,54337,1066,2727
219,256,6,1,True,2024-02-24T15:00:00Z,3,0,26,24,0,0,0,0,0,0,0,0,0,0,0,3,4.8,0.4,17.0,2.2,0,0.03,0.00,0.03,0.05,43,-1604,52541,854,2458
219,270,18,0,False,2024-03-02T15:00:00Z,3,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-1135,51628,587,1722
219,276,12,1,True,2024-03-09T15:00:00Z,1,1,28,20,0,0,0,1,0,0,0,0,0,0,0,-2,2.6,1.2,10.0,1.4,0,0.14,0.00,0.14,0.17,43,-1265,50355,235,1500
219,298,16,0,False,2024-03-30T15:00:00Z,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-1013,48328,146,1159
219,302,3,0,False,2024-04-02T18:45:00Z,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-749,47605,91,840
219,313,13,1,True,2024-04-06T11:30:00Z,2,4,32,8,0,0,0,0,0,0,0,0,0,0,0,2,2.4,0.2,17.0,2.0,0,0.02,0.01,0.03,0.05,43,-1067,46539,68,1135
