element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
674,25,2,1,True,2023-08-27T13:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,18,20.0,23.9,21.0,6.5,1,0.06,0.04,0.10,2.51,40,99,273,115,16
674,34,18,-1,True,2023-09-02T14:00:00Z,2,5,4,45,0,0,0,3,0,0,0,1,0,0,0,0,5.2,0.5,21.0,2.7,0,0.29,0.00,0.29,1.21,40,1020,2073,1262,242
674,47,16,1,False,2023-09-18T18:45:00Z,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.08,40,72,2796,402,330
674,54,14,0,True,2023-09-23T19:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-29,2915,163,192
674,66,15,0,False,2023-09-30T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-23,2957,213,236
674,15,12,1,False,2023-10-03T18:30:00Z,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.04,40,-23,2957,213,236
674,73,7,0,True,2023-10-07T14:00:00Z,1,4,8,90,0,0,0,4,0,0,0,0,0,0,0,11,15.0,0.2,0.0,1.5,1,0.00,0.00,0.00,1.58,40,72,3287,268,196
674,83,4,1,False,2023-10-21T14:00:00Z,3,0,9,10,0,0,0,1,0,0,0,0,0,0,0,4,3.8,0.6,0.0,0.4,0,0.00,0.00,0.00,0.19,40,303,3942,486,183
674,93,3,0,False,2023-10-28T14:00:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,158,4295,420,262
674,102,8,0,True,2023-11-04T15:00:00Z,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-18,4362,248,266
674,111,1,0,False,2023-11-11T15:00:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-115,4332,130,245
674,122,19,0,True,2023-11-25T15:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-29,4475,189,218
674,134,17,0,True,2023-12-02T15:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-55,4507,121,176
674,149,20,0,False,2023-12-05T19:30:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2,4581,115,117
