element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
252,1,14,1,False,2024-08-16T19:00:00Z,1,0,1,12,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.87,55,0,42210,0,0
252,15,11,1,True,2024-08-24T14:00:00Z,2,1,2,10,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.15,55,-5232,42883,4165,9397
252,25,10,1,False,2024-08-31T14:00:00Z,1,1,3,11,0,0,0,0,0,0,0,0,0,0,0,6,5.2,0.3,17.0,2.3,0,0.04,0.00,0.04,0.09,55,-2442,43256,8208,10650
252,35,19,9,True,2024-09-14T14:00:00Z,1,1,4,72,1,0,1,0,0,0,0,0,0,0,3,29,42.4,22.1,56.0,12.1,1,0.26,0.04,0.30,0.42,54,-3793,41230,7639,11432
252,44,15,6,True,2024-09-21T14:00:00Z,3,1,5,73,1,0,0,1,0,0,0,0,0,0,0,26,38.0,4.7,63.0,10.6,1,0.49,0.01,0.50,1.24,54,35466,81801,43160,7694
252,59,16,9,False,2024-09-28T14:00:00Z,0,1,6,82,1,0,1,0,0,0,0,0,0,0,3,37,35.8,3.4,42.0,8.1,1,0.91,0.03,0.94,0.65,55,207728,298253,245671,37943
252,69,13,5,False,2024-10-05T14:00:00Z,3,2,7,76,0,1,0,2,0,0,0,0,0,0,0,23,18.2,33.7,28.0,8.0,1,0.45,0.79,1.24,1.34,56,198788,504060,243185,44397
252,72,2,7,True,2024-10-19T14:00:00Z,1,3,8,90,1,0,0,3,0,0,0,0,0,0,1,25,37.2,1.8,54.0,9.3,1,0.74,0.00,0.74,1.68,56,190929,704668,221150,30221
252,87,8,2,False,2024-10-26T16:30:00Z,1,1,9,90,0,0,1,0,0,0,0,0,0,0,0,10,11.2,37.3,33.0,8.2,1,0.47,0.24,0.71,0.41,57,341726,1056070,365568,23842
252,92,4,2,True,2024-11-04T20:00:00Z,2,1,10,72,0,0,0,1,0,0,0,0,0,0,0,7,4.6,4.1,20.0,2.9,1,0.08,0.01,0.09,0.18,58,158936,1215554,226375,67439
252,104,7,5,False,2024-11-09T15:00:00Z,0,2,11,74,0,1,1,0,0,0,0,0,0,0,0,16,13.6,19.0,11.0,4.4,1,0.13,0.18,0.31,1.48,58,-78554,1130127,48928,127482
252,115,20,2,True,2024-11-23T15:00:00Z,1,4,12,70,0,0,0,2,0,0,0,0,0,0,0,3,0.0,3.5,15.0,1.8,1,0.72,0.01,0.73,0.91,58,-45005,1094460,60942,105947
252,128,18,2,False,2024-12-01T13:30:00Z,1,1,13,77,0,0,0,1,0,0,0,0,0,0,0,4,3.4,3.4,57.0,6.4,1,0.58,0.01,0.59,0.63,57,-319480,767954,6820,326300
252,135,5,1,True,2024-12-05T19:30:00Z,3,1,14,10,0,0,0,0,0,0,0,0,0,0,0,2,4.2,0.1,0.0,0.4,0,0.00,0.00,0.00,0.06,56,-95241,679886,9663,104904
