element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
257,6,4,1,True,2022-08-07T13:00:00Z,2,2,1,90,0,0,0,2,0,0,0,0,0,0,0,16,10.8,13.3,1.0,2.5,1,0.01,0.02,0.03,0.77,45,0,23381,0,0
257,11,1,1,False,2022-08-13T14:00:00Z,4,2,2,62,0,0,0,3,0,0,0,0,0,0,0,13,13.6,1.3,0.0,1.5,1,0.00,0.01,0.01,2.09,45,-647,27409,2545,3192
257,26,17,1,True,2022-08-20T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,13,20.6,3.3,2.0,2.6,1,0.00,0.02,0.02,0.92,45,-1413,27687,2215,3628
257,35,6,1,False,2022-08-27T14:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,0,0,18,21.2,26.3,4.0,5.2,1,0.00,0.22,0.22,1.75,45,-2654,26223,1016,3670
257,46,14,0,True,2022-09-01T19:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1648,25461,936,2584
257,53,5,1,False,2022-09-04T13:00:00Z,5,2,6,18,0,0,0,1,0,0,0,0,0,0,0,3,2.8,0.6,0.0,0.3,0,0.00,0.00,0.00,0.36,44,-2166,24045,1232,3398
257,79,18,0,False,2022-09-17T16:30:00Z,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-429,21639,184,613
257,86,16,0,True,2022-10-03T19:00:00Z,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-720,21176,460,1180
257,92,3,0,False,2022-10-08T14:00:00Z,2,1,10,23,0,0,0,2,0,0,0,0,0,0,0,3,4.2,1.2,0.0,0.5,0,0.00,0.00,0.00,0.64,43,-512,20857,635,1147
257,105,7,6,True,2022-10-15T11:30:00Z,0,0,11,90,0,0,1,0,0,0,0,0,0,0,0,25,12.0,1.0,0.0,1.3,1,0.00,0.01,0.01,0.39,43,-577,20423,379,956
257,117,11,9,True,2022-10-20T19:15:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,0,3,26,24.8,0.2,0.0,2.5,1,0.00,0.00,0.00,1.33,43,410,21527,809,399
257,130,20,6,False,2022-10-23T13:00:00Z,0,4,13,90,0,0,1,0,0,0,0,0,0,0,0,21,18.0,0.5,2.0,2.1,1,0.00,0.00,0.00,2.12,43,1681,22880,2258,577
257,137,13,2,True,2022-10-29T11:30:00Z,0,1,14,90,0,0,0,1,0,0,0,0,0,0,0,15,15.6,0.1,17.0,3.3,1,0.00,0.00,0.00,1.03,43,831,23902,1879,1048
257,143,8,6,False,2022-11-05T17:30:00Z,0,2,15,90,0,0,1,0,0,0,0,0,0,0,0,30,19.2,13.5,0.0,3.3,1,0.00,0.11,0.11,1.24,43,2002,26264,3123,1121
257,159,19,7,False,2022-11-12T15:00:00Z,0,2,16,90,0,0,1,0,0,0,0,0,0,0,1,28,27.0,0.3,7.0,3.4,1,0.03,0.00,0.03,1.40,43,22608,50570,24849,2241
257,168,15,1,True,2022-12-26T15:00:00Z,0,3,17,90,0,0,0,3,0,0,0,0,0,0,0,13,20.2,1.9,0.0,2.2,1,0.00,0.01,0.01,1.90,43,72802,125817,125346,52544
257,174,12,1,False,2022-12-30T20:00:00Z,2,1,18,90,0,0,0,2,0,0,0,0,0,0,0,15,25.4,0.3,0.0,2.6,1,0.00,0.00,0.00,2.12,43,-2779,122850,5907,8686
257,188,9,2,True,2023-01-03T19:45:00Z,0,1,19,90,0,0,0,1,0,0,0,0,0,0,0,17,22.8,11.5,0.0,3.4,1,0.00,0.01,0.01,1.73,43,-4509,118329,4665,9174
257,198,16,0,False,2023-01-14T15:00:00Z,2,0,20,90,0,0,0,2,0,0,0,1,0,0,0,12,23.0,1.0,0.0,2.4,1,0.00,0.01,0.01,2.14,42,-7081,111639,6672,13753
257,206,5,1,True,2023-01-21T15:00:00Z,2,2,21,90,0,0,0,2,0,0,0,0,0,0,0,15,18.8,0.1,0.0,1.9,1,0.00,0.00,0.00,1.53,42,-5890,106246,4400,10290
257,211,2,0,False,2023-02-04T15:00:00Z,2,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,42,-8569,97770,4317,12886
257,226,18,0,True,2023-02-11T15:00:00Z,4,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,41,-5972,92136,2505,8477
257,236,14,0,False,2023-02-19T14:00:00Z,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,41,-5988,86334,1453,7441
257,246,1,0,True,2023-02-25T15:00:00Z,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-6235,80478,4778,11013
257,259,17,0,False,2023-03-04T17:30:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2333,78592,4525,6858
257,266,6,1,True,2023-03-11T15:00:00Z,1,3,27,65,0,0,0,2,0,0,0,0,0,0,0,8,1.8,1.9,9.0,1.3,1,0.97,0.02,0.99,1.24,40,-2234,76495,4870,7104
257,273,4,2,False,2023-03-18T15:00:00Z,1,1,28,90,0,0,0,1,0,0,0,0,0,0,0,15,17.0,1.0,4.0,2.2,1,0.03,0.00,0.03,0.64,40,409,79683,5205,4796
257,285,7,0,False,2023-04-01T14:00:00Z,2,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,5178,83146,10420,5242
257,66,2,0,True,2023-04-04T18:45:00Z,1,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,5178,83146,10420,5242
257,295,3,2,True,2023-04-08T14:00:00Z,0,1,30,90,0,0,0,1,0,0,0,0,0,0,0,22,39.6,0.5,4.0,4.4,1,0.03,0.00,0.03,2.22,40,-2182,80640,2463,4645
257,305,13,0,False,2023-04-15T16:30:00Z,3,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,152,80989,3200,3048
257,317,20,0,True,2023-04-22T14:00:00Z,2,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1532,80424,2454,3986
257,323,11,0,False,2023-04-25T19:00:00Z,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2492,77124,1274,3766
257,337,8,0,True,2023-05-01T19:00:00Z,2,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2851,74351,1922,4773
257,343,9,0,False,2023-05-08T14:00:00Z,5,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,2361,77088,5024,2663
257,358,12,0,True,2023-05-15T19:00:00Z,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,592,77813,3080,2488
257,366,15,0,False,2023-05-22T19:00:00Z,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,146,78688,3451,3305
257,378,19,0,True,2023-05-28T15:30:00Z,2,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-249,77916,2061,2310
